num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2021S008788;21/05/2021;14:30:00;"CALL. ALCALA, 157";157;4;SALAMANCA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 70 a 74 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"442808,276";"4475203,501";N;NULL
2021S008789;21/05/2021;14:20:00;"AUTOV. A-6, KM. 5.900 SALIDA";+00600S;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 18 a 20 años;Hombre;14;Sin asistencia sanitaria;"437304,484";"4478040,435";N;NULL
2021S008789;21/05/2021;14:20:00;"AUTOV. A-6, KM. 5.900 SALIDA";+00600S;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;"437304,484";"4478040,435";N;NULL
2021S008789;21/05/2021;14:20:00;"AUTOV. A-6, KM. 5.900 SALIDA";+00600S;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;De 18 a 20 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;"437304,484";"4478040,435";N;NULL
2021S008789;21/05/2021;14:20:00;"AUTOV. A-6, KM. 5.900 SALIDA";+00600S;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Pasajero;De 50 a 54 años;Mujer;7;Asistencia sanitaria sólo en el lugar del accidente;"437304,484";"4478040,435";N;NULL
2021S008791;21/05/2021;14:45:00;"CTRA. BARRIO DE LA FORTUNA, 14";14;10;LATINA;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 25 a 29 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"434415,207";"4468592,8";N;NULL
2021S008791;21/05/2021;14:45:00;"CTRA. BARRIO DE LA FORTUNA, 14";14;10;LATINA;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 25 a 29 años;Hombre;14;Sin asistencia sanitaria;"434415,207";"4468592,8";N;NULL
2021S008792;21/05/2021;15:30:00;AVDA. MEDITERRANEO / CALL. WALIA;35;3;RETIRO;Atropello a persona;Despejado;Turismo;Conductor;De 40 a 44 años;Hombre;14;Sin asistencia sanitaria;"442972,509";"4473156,332";N;NULL
2021S008792;21/05/2021;15:30:00;AVDA. MEDITERRANEO / CALL. WALIA;35;3;RETIRO;Atropello a persona;Despejado;Turismo;Peatón;De 50 a 54 años;Mujer;2;Ingreso inferior o igual a 24 horas;"442972,509";"4473156,332";N;NULL
2021S008793;20/05/2021;15:15:00;GTA. MARIANO SALVADOR MAELLA / CALL. ISLA DE TABARCA;1;8;FUENCARRAL-EL PARDO;Colisión fronto-lateral;Despejado;Motocicleta hasta 125cc;Conductor;De 40 a 44 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;"438837,031";"4480857,853";N;NULL
